Rank,Company,3-year Growth,2009 Revenue,Industry,City,State,INC Profile,Company URL,Description,2006 Revenue,Employees,Founded,Industry Rank
3135,Carousel Industries,64,$165.3 million,Telecommunications,Exeter,RI,http://www.inc.com/inc5000/profile/carousel-industries,http://www.carouselindustries.com/,"Carousel Industries designs, implements, and maintains powerful converged communication networks for organizations nationwide.",$100.8 million,635,1992,#126
3136,Dr. Fresh,64,$44.3 million,Consumer Products & Services,Buena Park,CA,http://www.inc.com/inc5000/profile/dr-fresh,http://www.drfresh.com,"Dr. Fresh makes and distributes oral care and personal hygiene products. Firefly, the company's best-selling product line, features toothbrushes that light up for one minute, the minimum recommended brushing time.",$27 million,73,1998,#167
3137,Kansas City Home Care,64,$2.9 million,Health,Overland Park,KS,http://www.inc.com/inc5000/profile/kansas-city-home-care,http://www.kchomecare.com,Kansas City Home Care provides home care for the elderly and disabled.,$1.8 million,109,1989,#261
3138,Processes Unlimited International,64,$37.9 million,Engineering,Bakersfield,CA,http://www.inc.com/inc5000/profile/processes-unlimited-international,http://www.prou.com,"Processes Unlimited International provides engineering services such as planning, engineering, design, project management and safety support services to the industrial, energy, food and beverage, and material handling industries.",$23.1 million,258,1985,#52
3139,JHE Production Group,64,$20.6 million,Consumer Products & Services,Harrisburg,NC,http://www.inc.com/inc5000/profile/jhe-production-group,http://www.gojhe.com,"JHE Production Group organizes, produces, and promotes events, mainly motor-sports events. The company also leases out vehicles for marketing campaigns and provides other vehicle-oriented marketing services.",$12.5 million,72,1987,#168
3140,SADA Systems,64,$3.5 million,IT Services,North Hollywood,CA,http://www.inc.com/inc5000/profile/sada-systems,http://www.sadasystems.com,"SADA Systems offers business process consulting, Google App cloud computing, Microsoft solutions, and general IT services to companies in the medical, professional services, legal, and education industries.",$2.1 million,25,2000,#390
3141,IT First Source,64,$6.3 million,IT Services,EDISON,NJ,http://www.inc.com/inc5000/profile/it-first-source,http://www.itfsinc.com,"IT First Source provides IT services and staff for companies in financial services, investment banking, media and publishing, telecommunications, and insurance.",$3.9 million,35,2000,#391
3142,Texas Air Composites,64,$19.5 million,Manufacturing,Ft. Worth,TX,http://www.inc.com/inc5000/profile/texas-air-composites,http://www.texasaircomposites.com,"Texas Air Composites repairs airplane composites, sheet metal, or welded component parts for regional and commercial jets.",$11.9 million,125,2000,#97
3143,Raising Cane's Chicken Fingers,64,$125.6 million,Food & Beverage,Baton Rouge,LA,http://www.inc.com/inc5000/profile/raising-canes-chicken-fingers,http://www.raisingcanes.com,"Founded in Baton Rouge, La., Raising Cane's Chicken Fingers has more than 80 restaurants in 13 states with several new restaurants under construction. Its slogan one love refers to its focus on quality chicken finger meals.",$76.7 million,0,1996,#82
3144,Casey Research,64,$8.7 million,Financial Services,Stowe,VT,http://www.inc.com/inc5000/profile/casey-research,http://www.caseyresearch.com,Casey Research is a leading financial research organization and publisher of newsletter and other services for investors.,$5.3 million,17,2003,#161
3145,Worldwide Travel Staffing,64,$17.4 million,Health,Tonawanda,NY,http://www.inc.com/inc5000/profile/worldwide-travel-staffing,http://www.worldwidetravelstaffing.com,"Worldwide Travel Staffing provides traveling nurses for surgical centers, rural hospitals, and other facilities that need temporary nursing staff.",$10.6 million,440,1993,#262
3146,The Tellennium Group,64,$11.7 million,Telecommunications,Mt. Washington,KY,http://www.inc.com/inc5000/profile/the-tellennium-group,http://www.tellennium.com,"The Tellennium Group consults with corporations, government agencies, and educational institutions on telecommunications needs, including comprehensive audits of telecommunications expenses.",$7.2 million,0,1999,#127
3147,TelePacific Communications,64,$452.6 million,Telecommunications,Los Angeles,CA,http://www.inc.com/inc5000/profile/telepacific-communications,http://www.telepacific.com,"TelePacific Communications provides local and long distance voice, dedicated Internet access, private networking and data transport services, as well as bundled voice and Internet services to customers throughout California and Nevada.",$276.7 million,1176,1998,#128
3148,Fleet Feet,64,$4.2 million,Retail,Carrboro,NC,http://www.inc.com/inc5000/profile/fleet-feet,http://www.fleetfeetsports.com,"Fleet Feet is a franchiser of 88 stores nationwide that sell fitness footwear, apparel, and accessories.",$2.6 million,450,1976,#155
3149,Evocative,63,$3.5 million,IT Services,Emeryville,CA,http://www.inc.com/inc5000/profile/evocative,http://www.evocative.com/,"Evocative provides data center colocation services, as well as data storage, backup, firewalls, and anti-spam services.",$2.1 million,6,1996,#392
3150,Smuka Trading,63,$2.3 million,Environmental Services,Franklin,TN,http://www.inc.com/inc5000/profile/smuka-trading,http://www.smukainc.com,"Smuka Trading provides metal trading and recyclable metal scraps to India, China, Bangladesh, Singapore, and Taiwan, trading primarily in aluminum, copper, mixed electric motors (scrap), silicon steel (coils), and flat steel (CR/HR) from dismantled transformers.",$1.4 million,2,2003,#45
3151,Moochie,63,$4.4 million,Retail,Worthington,OH,http://www.inc.com/inc5000/profile/moochie,http://www.moochieandco.com,Moochie & Co. is a mall-based specialty retailer selling quality products for pets and pet owners.,$2.7 million,100,2004,#156
3152,StudyPoint,63,$5.2 million,Education,Stoneham,MA,http://www.inc.com/inc5000/profile/studypoint,http://www.studypoint.com,StudyPoint provides one-to-one in-home private tutoring for students in grades K-12.,$3.2 million,31,1999,#52
3153,C&K Systems,63,$2.2 million,IT Services,Chesapeake,VA,http://www.inc.com/inc5000/profile/ck-systems,http://www.cksystem.com,"C&K Systems implements and supports various software and hardware products used by retailers to streamline functions such as purchasing, sales forecasting, and inventory control.",$1.4 million,17,1989,#393
3154,Silicon Forest Electronics,63,$26.1 million,Manufacturing,Vancouver,WA,http://www.inc.com/inc5000/profile/silicon-forest-electronics,http://www.si-forest.com,Silicon Forest Electronics provides electronics contract manufacturing services.,$16 million,85,1999,#98
3155,Stellar Solutions,63,$34.1 million,Engineering,Palo Alto,CA,http://www.inc.com/inc5000/profile/stellar-solutions,http://www.stellarsolutions.com,"Stellar Solutions performs systems engineering, program monitoring, and program management for the aerospace industry.",$20.9 million,123,1995,#53
3156,Trident Marketing,63,$42.5 million,Advertising & Marketing,Southern Pines,NC,http://www.inc.com/inc5000/profile/trident-marketing,http://www.tridentmarketing.com,"Trident Marketing is a direct marketing company that provides consistent marketing and sales channels, and performs customer acquisition for consumer brands.",$26 million,305,2004,#279
3157,O2 Fitness Clubs,63,$6.6 million,Health,Durham,NC,http://www.inc.com/inc5000/profile/o2-fitness-clubs,null,O2 Fitness is a modern health club with locations all over North Carolina.,$4.1 million,400,2002,#263
3158,Docutrend Imaging Solutions,63,$4.5 million,Business Products & Services,New York,NY,http://www.inc.com/inc5000/profile/docutrend-imaging-solutions,http://wwww.docutrend.com,"Docutrend Imaging Solutions specializes in document and print management, including document workflow consulting, software integration and deployment, and on- and off-site paper to electronic file conversions. Docutrend also supplies document management software, digital copiers and printers, faxes, and scanners.",$2.8 million,31,2002,#284
3159,MediConnect Global,63,$43.8 million,Health,South Jordan,UT,http://www.inc.com/inc5000/profile/mediconnect-global,http://www.mediconnect.net,"MediConnect Global specializes in providing medical record retrieval services to law firms involved in mass tort, medical malpractice, and personal injury cases and to insurance brokers and underwriters.",$26.9 million,850,1996,#264
3160,ESi Acquisition,63,$12.7 million,Software,Augusta,GA,http://www.inc.com/inc5000/profile/esi-acquisition,http://www.esi911.com,"ESi Acquisition develops a Web-based emergency management communications system used by local, state, and federal government entities as well as nonprofits, health care institutions, and utilites. The system, which provides access to real-time information for a common operating picture during events or daily operations, was used to manage President Obama's inauguration.",$7.8 million,73,1998,#199
3161,Kim and Scott's Gourmet Pretzels,63,$10.7 million,Food & Beverage,Chicago,IL,http://www.inc.com/inc5000/profile/kim-and-scotts-gourmet-pretzels,http://www.kimandscotts.com,Kim and Scott's manufactures and distributes frozen gourmet stuffed pretzels.,$6.6 million,90,1995,#83
3162,Nexus IS,63,$175.6 million,IT Services,Valencia,CA,http://www.inc.com/inc5000/profile/nexus-is,http://www.nexusis.com,Nexus IS implements Cisco business technologies for midsize and large companies. Nexus is a Cisco Gold Certified Partner and currently one of the few Cisco Partners that holds a Masters Certification in unified communications.,$107.7 million,385,2004,#394
3163,IntraLinks Holdings,63,$140.7 million,Software,New York,NY,http://www.inc.com/inc5000/profile/intralinks-holdings,http://www.intralinks.com,"IntraLinks Holdings' products create virtual data rooms where organizations can organize, manage, share, and track their most critical information. Customers include Memorex, Sterigenics, and all top 50 global banks.",$86.4 million,384,1997,#200
3164,Stafford Associates Computer Specialists,63,$7.1 million,IT Services,Setauket,NY,http://www.inc.com/inc5000/profile/stafford-associates-computer-specialists,http://www.staffordnet.com,"Stafford Associates helps companies integrate their data communication networks, providing services that include design, sales, installation and maintenance. Stafford is also an Internet Sevice Provider, offering corporate web access, web hosting and design, and e-commerce services.",$4.4 million,28,1981,#395
